Id,SalePrice
1461,114656.85
1462,161629.28
1463,186001.14
1464,192052.86
1465,176479.39
1466,172052.88
1467,170627.52
1468,167248.61
1469,187447.45
1470,124993.48
1471,201891.05
1472,92247.25
1473,92630.65
1474,156644.64
1475,139136.62
1476,370887.97
1477,253456.2
1478,277094.88
1479,281970.56
1480,432643.5
1481,331115.34
1482,201193.16
1483,166782.88
1484,169448.28
1485,177577.78
1486,193018.88
1487,343903.53
1488,233754.06
1489,207716.38
1490,212824.23
1491,197978.73
1492,85084.01
1493,183127.92
1494,304016.56
1495,304265.44
1496,229229.33
1497,185885.34
1498,165807.38
1499,161144.31
1500,154004.14
1501,177147.98
1502,151404.83
1503,284247.4
1504,241680.08
1505,228548.48
1506,177953.97
1507,250923.44
1508,198571.73
1509,166008.8
1510,144919.1
1511,144742.3
1512,169616.27
1513,142646.47
1514,156829.84
1515,201432.94
1516,153199.34
1517,160186.36
1518,133117.89
1519,212050.52
1520,133839.9
1521,134311.1
1522,169027.03
1523,115182.92
1524,124422.84
1525,125657.3
1526,116610.94
1527,101942.61
1528,129319.375
1529,147077.92
1530,175889.12
1531,104775.086
1532,96834.7
1533,147059.27
1534,123308.664
1535,163830.03
1536,105082.8
1537,66829.56
1538,171756.31
1539,205167.81
1540,88144.62
1541,145683.73
1542,142840.45
1543,225372.61
1544,77981.39
1545,102202.91
1546,120126.516
1547,129919.53
1548,132505.23
1549,105437.86
1550,140717.4
1551,109757.43
1552,132547.31
1553,161393.16
1554,109728.23
1555,161927.97
1556,78124.914
1557,105704.664
1558,94004.625
1559,67828.47
1560,138824.88
1561,122429.016
1562,131056.07
1563,120647.414
1564,159193.25
1565,152877.81
1566,240563.67
1567,73921.01
1568,250861.22
1569,144170.58
1570,129483.63
1571,133947.42
1572,149758.11
1573,239700.53
1574,116574.35
1575,222909.92
1576,226774.02
1577,190805.23
1578,151522.27
1579,141902.25
1580,195867.88
1581,152245.34
1582,128564.1
1583,326909.3
1584,228777.69
1585,142294.02
1586,73129.01
1587,97958.516
1588,148655.19
1589,99464.914
1590,138448.6
1591,100786.45
1592,111465.04
1593,120125.14
1594,105475.77
1595,116138.586
1596,247574.02
1597,190919.38
1598,205409.0
